"DAC","Study Accession","Study Release Date","Embargo End Date","Study Name"
"NCI DAC","phs000427.v1.p1",""," ","Evaluation of Next-Generation Sequence Compression Strategies for Cancer Genomes (CGCI_SeqCompression)"
"NCI DAC","phs000443.v1.p1","05/08/2012","05/08/2012","Molecular Profiling of Cancer"
"NCI DAC","phs000445.v1.p1","10/16/2012","10/16/2012","HIV-Resistant People with Hemophilia"
"NCI DAC","phs000450.v3.p1","10/11/2018","03/02/2013","Whole Exome Sequencing of Diffuse Large B-Cell Lymphoma"
"NCI DAC","phs000487.v2.p1","04/15/2014","01/04/2014","Functionally Active Copy Number Variants Associated with Prostate Cancer Risk"
"NCI DAC","phs000491.v1.p1","10/05/2012","01/05/2013","Whole-Genome and Exome Sequencing in Clear-Cell Renal Cell Carcinoma"
"NCI DAC","phs000502.v1.p1","08/02/2012","08/02/2013","Genome-Wide Analysis of Splenic Marginal Zone Lymphoma"
"NCI DAC","phs000505.v2.p1","07/31/2013","10/31/2012","Gene Fusion Discovery through RNA Sequencing of Human Glioblastoma Stem Cell Lines"
"NCI DAC","phs000508.v2.p1","04/15/2014","04/15/2014","Genomic Sequencing of Pediatric Rhabdoid Cancers"
"NCI DAC","phs000513.v1.p1","09/14/2012","09/14/2012","MAST Kinase and Notch Gene Families in Breast Cancer"
"NCI DAC","phs000517.v3.p1","06/11/2015","01/25/2014","Multiethnic Cohort (MEC) Breast Cancer Genetics"
"NCI DAC","phs000519.v1.p1","03/12/2014","03/12/2015","Study of Melanoma Risk in Australia and the United Kingdom"
"NCI DAC","phs000522.v1.p1","01/16/2013","01/16/2014","Hyperdiploid Acute Lymphoblastic Leukemia RNA-Seq"
"NCI DAC","phs000525.v1.p1","03/29/2013","03/29/2013","Expressed Pseudogenes in the Transcriptional Landscape of Human Cancers"
"NCI DAC","phs000535.v1.p1","11/02/2012","11/02/2012","Genome and Targeted Sequencing of Bladder Cancer"
"NCI DAC","phs000543.v1.p1","11/06/2014","11/06/2014","Exome Sequencing of Pleuropulmonary Blastoma"
"NCI DAC","phs000550.v1.p1","01/29/2013","01/29/2013","Characterization of Pancreatic Adenocarcinoma Patients Using NGS"
"NCI DAC","phs000552.v2.p1","04/15/2014","01/17/2013","Genomic Characterization of Meningiomas"
"NCI DAC","phs000554.v1.p1","10/17/2017","10/17/2017","Mutational Landscape of Lethal Castrate Resistant Prostate Cancer"
"NCI DAC","phs000562.v1.p1","01/29/2013","01/29/2013","The Genetic Landscape of Mutations in Burkitt Lymphoma"
"NCI DAC","phs000563.v1.p1","07/01/2013","07/01/2013","Pilocytic Astrocytoma in NF1"
"NCI DAC","phs000567.v1.p1","01/11/2013","01/11/2014","NAB2-STAT6 Gene Fusions in Solitary Fibrous Tumor by Integrative Sequencing"
"NCI DAC","phs000568.v1.p1","01/10/2013","01/10/2013","Genomic Sequencing of Solitary Fibrous Tumors"
"NCI DAC","phs000573.v1.p1","04/02/2013","04/02/2013","Genetic Heterogeneity of Diffuse Large B Cell Lymphoma"
"NCI DAC","phs000579.v1.p1","11/06/2013","11/22/2013","Small Intestine Neuroendocrine Tumors (Carcinoid Tumors)"
"NCI DAC","phs000597.v1.p1","11/26/2013","11/26/2013","DNA Methylation Analysis of Prostate Cancer"
"NCI DAC","phs000600.v1.p1","03/19/2014","03/19/2014","Genomic Sequencing of Cervical Cancers"
"NCI DAC","phs000601.v1.p1","10/29/2013","10/29/2013","Identifying the Genetic Explanation for Heritable Breast Cancer"
"NCI DAC","phs000602.v2.p1","04/16/2014","05/21/2013","Identification of Targetable FGFR Gene Fusions in Diverse Cancers"
"NCI DAC","phs000604.v1.p1","08/22/2013"," ","Mapping Genes for Mammographic Density"
"NCI DAC","phs000614.v1.p1","07/22/2013","07/22/2013","Genomic Analysis of Pediatric Low Grade Gliomas"
"NCI DAC","phs000621.v1.p1","06/26/2013","06/26/2013","Genome Wide Association Studies in ECOG 2997 Trial"
"NCI DAC","phs000627.v1.p1","03/14/2014","03/14/2014","UNC Hepatocellular Carcinoma Study by Exome Sequencing (HCCSES)"
"NCI DAC","phs000628.v1.p1","12/16/2014","12/16/2014","Characterization of a Metastatic Cervical Cancer Using NGS"
"NCI DAC","phs000629.v1.p1","10/16/2014","10/16/2014","GWAS of Familial Lung Cancer"
"NCI DAC","phs000634.v1.p1","06/29/2015","06/29/2015","NCI GWAS of Lung Cancer in Never Smokers"
"NCI DAC","phs000644.v1.p1","09/10/2013","09/10/2013","The Effect of the Menstrual Cycle on the Normal Human Breast"
"NCI DAC","phs000646.v1.p1","09/10/2013","09/10/2013","Breakpoint Detection Using Long Insert Whole Genome Sequencing"
"NCI DAC","phs000648.v1.p1","06/22/2015","06/22/2015","Pancreatic Cancer Case-Control Association Study"
"NCI DAC","phs000652.v1.p1","12/17/2013","12/17/2014","Cohort-Based Genome-Wide Association Study of Glioma (GliomaScan)"
"NCI DAC","phs000657.v1.p1","11/20/2013","11/20/2013","NGS in Advanced Cancers"
"NCI DAC","phs000669.v1.p1","10/21/2016","10/21/2016","AMBER Consortium"
"NCI DAC","phs000671.v1.p1","11/14/2013","11/14/2013","Somatic Mutations in Variant and IGHV4-34 Expressing Hairy Cell Leukemia"
"NCI DAC","phs000673.v4.p1","04/28/2020","11/13/2014","University of Michigan Clinical Sequencing Exploratory Research (CSER)"
"NCI DAC","phs000676.v2.p2","02/28/2018","10/29/2014","Sequence-Based Analysis of Human Breast Tumors"
"NCI DAC","phs000677.v1.p1","12/20/2013","12/20/2013","An APOBEC Cytidine Deaminase Mutagenesis in Human Cancers"
"NCI DAC","phs000689.v1.p1","11/18/2014","11/18/2014","Genomic Analysis of Peripheral T-Cell Lymphomas"
"NCI DAC","phs000699.v1.p1","01/07/2015","01/07/2015","Osteosarcoma Genomics"
"NCI DAC","phs000706.v1.p1","06/19/2014","06/19/2014","RAD50 Hypomorphism as Basis for Response to Chemotherapy"
"NCI DAC","phs000709.v1.p1","05/09/2014","05/09/2014","The Genome and Transcriptome of Fibrolamellar Hepatocellular Carcinoma"
"NCI DAC","phs000716.v1.p1","06/04/2014","06/04/2014","GWAS of Lung Cancer Susceptibility in Never-Smoking Women in Asia"
"NCI DAC","phs000717.v1.p1","10/17/2014","10/17/2014","Genomics of Circulating Tumor Cells"
"NCI DAC","phs000720.v3.p1","10/07/2019","10/07/2019","Genomic Sequencing of Pediatric Rhabdomyosarcoma"
"NCI DAC","phs000729.v1.p1","06/24/2014","06/24/2014","Follicular Lymphoma 2013 - Malek"
"NCI DAC","phs000733.v1.p1","03/10/2015","03/10/2015","ICPCG Genome Wide Association Study of Familial Prostate Cancer"
"NCI DAC","phs000734.v1.p1","06/10/2014","06/10/2014","Osteosarcoma Genome-wide Association Study"
"NCI DAC","phs000739.v1.p1","05/05/2014","05/05/2014","Identification of Recurrent SMO and BRAF Mutations in Ameloblastomas"
"NCI DAC","phs000740.v1.p1","07/11/2019","07/11/2019","Whole Genome Sequencing of Waldenstrom's Macroblulinemia"
"NCI DAC","phs000748.v7.p4","03/20/2019","10/07/2014","Multiple Myeloma CoMMpass Study"
"NCI DAC","phs000749.v1.p1",""," ","STAGINGG: Multiple Myeloma CoMMpass Study"
"NCI DAC","phs000753.v1.p1","09/30/2014","09/30/2014","High Density SNP Association Analysis of Lung Cancer"
"NCI DAC","phs000759.v1.p1","10/08/2014","10/08/2014","Spectrum of Mutations in Myeloid Neoplasms"
"NCI DAC","phs000767.v1.p1","07/11/2014","07/11/2014","The UC San Diego Chronic Lymphocytic Leukemia (CLL) Study"
"NCI DAC","phs000768.v2.p1","06/29/2017","07/28/2016","Genomic sequencing of Ewing's Sarcoma"
"NCI DAC","phs000772.v1.p1","10/17/2014","10/17/2014","Genetic Predictors of Adverse Radiotherapy Effects (Gene-PARE)"
"NCI DAC","phs000773.v1.p1","06/12/2017","06/12/2017","CTLA4:CD28 in Sezary Syndrome"
"NCI DAC","phs000782.v1.p1","10/06/2017","10/06/2017","Post-Liver Transplant Recurrent Human Hepatocellular Carcinoma Study (RHCCS)"
"NCI DAC","phs000790.v1.p1","01/29/2015","01/29/2015","Comparative Analysis of Primary and Metastatic Colorectal Cancer"
"NCI DAC","phs000792.v1.p1","11/24/2014","11/24/2014","Oncogenomics of Malignant Peripheral Nerve Sheath Tumors"
"NCI DAC","phs000794.v1.p1","04/15/2015","04/15/2015","Longitudinal Genome-Wide Analysis of Patients with Chronic Lymphocytic Leukemia"
"NCI DAC","phs000795.v1.p1","04/11/2017","04/11/2017","Gastric Cancer Genetic Analysis of Metastasis"
"NCI DAC","phs000799.v1.p1","06/11/2015","08/28/2018","Shanghai Breast Cancer Genetics Study (SBCGS)"
"NCI DAC","phs000801.v2.p1","09/22/2016","09/22/2016","NCI Non-Hodgkin Lymphoma GWAS"
"NCI DAC","phs000804.v1.p1","12/13/2016","12/13/2016","Genomic Sequencing of Ewing Sarcoma"
"NCI DAC","phs000812.v1.p1","06/11/2015","06/11/2015","The Breast and Prostate Cancer Cohort Consortium (BPC3)"
"NCI DAC","phs000813.v1.p1","10/23/2015","10/23/2016","Sequencing of Targeted Genomic Regions Associated with Smoking"
"NCI DAC","phs000826.v1.p1","05/12/2015","05/12/2015","Prediction of Trastuzumab Benefit in Adjuvant Breast Cancer: NSABP B31"
"NCI DAC","phs000828.v1.p1","11/13/2019","11/13/2019","Genomic Analysis of Hepatocellular Carcinoma"
"NCI DAC","phs000830.v1.p1","09/16/2015","09/16/2015","XPC and Non-XPC Cutaneous Squamous Cell Carcinoma Mutation Rate Study"
"NCI DAC","phs000838.v1.p1","07/10/2015","07/10/2015","Ghana Prostate Study"
"NCI DAC","phs000851.v1.p1","06/11/2015","09/03/2015","African American Breast Cancer GWAS"
"NCI DAC","phs000863.v1.p1","06/24/2015","06/24/2015","NCI GWAS of Renal Cell Carcinoma in African Americans"
"NCI DAC","phs000868.v1.p1","06/05/2015","06/05/2015","Transcriptome Sequencing of Pediatric Neuroblastoma"
"NCI DAC","phs000869.v1.p1","06/19/2015","06/19/2015","Barrett's and Esophageal Adenocarcinoma Genetic Susceptibility Study (BEAGESS)"
"NCI DAC","phs000876.v2.p1","04/10/2020","04/10/2020","Transdisciplinary Research Into Cancer of the Lung (TRICL)"
"NCI DAC","phs000882.v1.p1","01/24/2017","01/24/2017","Prostate Cancer Genome-Wide Association Study for Uncommon Susceptibility Loci (PEGASUS)"
"NCI DAC","phs000884.v1.p1","09/21/2015","09/21/2015","Gut Microbiome Profiles and Risk of Colorectal Cancer"
"NCI DAC","phs000885.v1.p1","09/17/2015","09/17/2015","Strong Activation of Retroviral LTRs in HCC"
"NCI DAC","phs000892.v6.p1","02/14/2017","11/09/2017","CPTAC Proteogenomic Confirmatory Study"
"NCI DAC","phs000893.v1.p1","10/27/2016","10/27/2016","Genome-Wide Association Study of Endometrial Cancer in E2C2"
"NCI DAC","phs000897.v1.p1","10/18/2019","10/18/2019","Mayo Clinic and Illumina Collaborative Early Stage Ovarian Cancer (ESOC) Study"
"NCI DAC","phs000900.v1.p1","05/01/2015","05/01/2015","Functionally-defined Therapeutic Targets in DIPG"
"NCI DAC","phs000907.v1.p1","12/22/2016","12/22/2016","Brain Metastases in Squamous Cell Lung Cancers"
"NCI DAC","phs000912.v1.p1","06/11/2015","10/25/2018","San Francisco Bay Area Latina Breast Cancer Study"
"NCI DAC","phs000913.v1.p1","08/10/2015","08/10/2015","Genomic Analysis of Mycosis Fungoides and Sézary Syndrome"
"NCI DAC","phs000915.v2.p2","02/08/2019","01/15/2016","Integrative Clinical Sequencing Analysis of Metastatic Castration Resistant Prostate Cancer Reveals a High Frequency of Clinical Actionability"
"NCI DAC","phs000929.v1.p1","11/13/2019","11/13/2019","High-Risk Breast Cancer GWAS"
"NCI DAC","phs000932.v1.p1","06/15/2016","06/15/2016","Somatic Reference Standard for Cancer Sequencing"
"NCI DAC","phs000933.v2.p1","11/19/2018","11/19/2018","Melanoma Exome Sequencing"
"NCI DAC","phs000937.v1.p1","08/24/2016","08/24/2016","The Landscape of Antisense Gene Expression in Human Cancers"
"NCI DAC","phs000941.v1.p1","09/18/2015","09/18/2015","Phylogenetic Analyses Reveal Complex Patterns of Melanoma Metastasis"
"NCI DAC","phs000942.v1.p1","03/03/2016","03/03/2016","Use of WGS for Diagnosis and Discovery in the Cancer Genetics Clinic"
"NCI DAC","phs000950.v1.p1","01/04/2018","01/04/2018","NCI SEER Formalin Fixed Paraffin Embedded (FFPE) Tissue Feasibility Study"
"NCI DAC","phs000953.v1.p1","11/30/2015","11/30/2015","Microdissected Pancreatic Cancer Whole Exome Sequencing"
"NCI DAC","phs000973.v1.p1","12/21/2016","12/21/2016","The Genomic Landscape of Juvenile Myelomonocytic Leukemia"
"NCI DAC","phs000975.v1.p1","12/02/2015","12/02/2015","Nurses' Health Study (NHS)"
"NCI DAC","phs000977.v1.p1","10/01/2015","10/01/2015","Genetic Analysis of Desmoplastic Melanoma"
"NCI DAC","phs000978.v1.p1","10/02/2017","10/02/2017","WGS of a malignant GCT with metabolic response to pazopanib"
"NCI DAC","phs000980.v1.p1","11/19/2015","11/19/2015","PD-1 Blockade in Non-Small Cell Lung Cancer"
"NCI DAC","phs000985.v1.p1","07/26/2016","07/26/2016","Functional Significance of Prostate Cancer Risk-SNPs"
"NCI DAC","phs000994.v1.p1","01/15/2016","01/15/2016","The Mutational Landscape of CTCL and Sezary Syndrome."
"NCI DAC","phs001006.v1.p1","09/13/2018","09/13/2018","Intra-Lesion Heterogeneity and Clonality of Lobular Carcinomas In Situ"
"NCI DAC","phs001007.v1.p1","12/02/2015","12/02/2015","The Genetic Landscape of Metastasis and Recurrence in HNSCC"
"NCI DAC","phs001027.v2.p1","08/31/2016","08/31/2016","Epigenomics studies in Acute Myeloid Leukemia (AML)"
"NCI DAC","phs001034.v1.p1","01/14/2016","01/14/2016","New England-Based Case-Control Study of Ovarian Cancer (NECC)"
"NCI DAC","phs001036.v1.p1","03/01/2017","03/01/2017","Genomic Characterization of Acral Melanoma"
"NCI DAC","phs001038.v1.p1","03/02/2016","03/02/2016","DNA Methylation Inhibitors in Immunotherapy"
"NCI DAC","phs001041.v1.p1","06/10/2016","06/10/2016","Genetic Basis for Clinical Response to CTLA-4 Blockade in Melanoma"
"NCI DAC","phs001044.v1.p1","09/19/2016","09/19/2016","Breast Cancer Risk Pathways"
"NCI DAC","phs001045.v1.p1","11/21/2019","11/21/2019","Molecular Epidemiology of Colorectal Cancer (MECC) Metastasis Study"
"NCI DAC","phs001052.v1.p1","10/07/2019","10/07/2019","Multi-Dimensional ClinOmics for Precision Therapy"
"NCI DAC","phs001054.v1.p1","04/06/2016","04/06/2016","Genomic Characterization of Pediatric Low-Grade Gliomas"
"NCI DAC","phs001063.v1.p1","05/12/2016","05/12/2016","Genomic Characterization of PDX Models for Breast Cancer Brain Metastases"
"NCI DAC","phs001064.v1.p1","03/12/2018","03/12/2018","Whole Exome Sequencing of Signet Ring/Plasmacytoid Variant Bladder Cancer"
"NCI DAC","phs001066.v1.p1","05/19/2016","05/19/2016","DNA and RNA Sequence of an Acute Lymphoblastic Leukemia"
"NCI DAC","phs001072.v1.p1","10/11/2016","10/11/2016","Genomic Analysis of Relapsed Pediatric Acute Lymphoblastic Leukemia"
"NCI DAC","phs001078.v1.p1","11/27/2018","11/27/2018","Common Variant GWAS, GECCO"
"NCI DAC","phs001083.v1.p1","11/21/2019","11/21/2019","99 Cases of Small Cell Lung Cancer Study"
"NCI DAC","phs001084.v1.p1","02/20/2018","02/20/2018","Differential Mutations in Matched Primary and Metastatic Colorectal Cancers"
"NCI DAC","phs001087.v2.p1","06/26/2019","04/09/2018","Clonal Evolution of Platinum-Resistant Metastatic Urothelial Cancer"
"NCI DAC","phs001088.v1.p1","11/14/2017","11/14/2017","Shanghai Breast Cancer Genetics Study (SBCGS)"
"NCI DAC","phs001107.v1.p1","06/08/2016","06/08/2016","Patient-Specific Factors Influence Somatic Variations in VHL Tumors"
"NCI DAC","phs001111.v1.p1","09/21/2016","09/21/2016","A Prognostic Role of APC in Colorectal Cancers"
"NCI DAC","phs001112.v1.p1","07/01/2016","07/01/2016","Chromosome X Mosaicism Methylation Study"
"NCI DAC","phs001115.v1.p1","06/27/2016","06/27/2016","Tissue Specimens from Patients with Melanoma for Genetic Analysis"
"NCI DAC","phs001120.v1.p1","03/31/2017","03/31/2017","ELLIPSE Prostate Cancer Meta-Analysis and Genotyping"
"NCI DAC","phs001121.v1.p1","03/21/2017","03/21/2017","Integrated Genetic and Pharmacologic Interrogation of Rare Cancers"
"NCI DAC","phs001141.v1.p1","02/21/2017","02/21/2017","PROstate Cancer Medically Optimized Genome Enhanced ThErapy (PROMOTE)"
"NCI DAC","phs001159.v1.p1","12/12/2017","12/12/2017","Genetic Analysis to Interrogate Tumor Heterogeneity in Lung Adenocarcinoma"
"NCI DAC","phs001169.v2.p1","08/24/2020","08/24/2020","Integrative Analysis of Lung Adenocarcinoma (Version 2)"
"NCI DAC","phs001173.v1.p1","09/27/2017","09/27/2017","Head and Neck Cancer Genome-wide Association Study"
"NCI DAC","phs001175.v2.p2","01/29/2019","04/11/2018","CTSP: Clinical Trial Sequencing Project"
"NCI DAC","phs001177.v2.p1","03/09/2020","03/30/2017","Rare Germline Variations in Familial Melanoma"
"NCI DAC","phs001179.v1.p1","07/31/2017","07/31/2017","Foundation Medicine Adult Cancer Clinical Dataset (FM-AD)"
"NCI DAC","phs001181.v1.p1","03/24/2017","03/24/2017","Single-Cell DNA and RNA Sequencing over A 29-Year Period of A CLL Patient"
"NCI DAC","phs001185.v1.p1","11/03/2016","11/03/2016","Genome-Wide Scan of Early-onset Prostate Cancer"
"NCI DAC","phs001192.v1.p1","04/11/2017","04/11/2017","Thoracic Patient-Derived Xenografts"
"NCI DAC","phs001193.v1.p1","12/27/2018","12/27/2018","Hispanic Colorectal Cancer Study"
"NCI DAC","phs001199.v1.p1","07/03/2017","07/03/2017","TIGER-LC OncoVar Sequencing"
"NCI DAC","phs001210.v1.p1","04/07/2017","04/07/2017","NCI Lung Cancer and Smoking Phenotypes in African-American Subjects"
"NCI DAC","phs001219.v1.p1","05/10/2018","05/10/2018","Detection of Genes Predisposing to Hematologic Malignancies"
"NCI DAC","phs001221.v1.p1","03/12/2020","03/12/2020","ProHealth: Kaiser Permanente GWAS of Prostate Cancer"
"NCI DAC","phs001223.v1.p1","10/31/2016","10/31/2016","Analysis of AR Gene Rearrangements in Prostate Cancer"
"NCI DAC","phs001228.v1.p1","06/18/2018","06/18/2018","Kids First Pediatric Research Program in Susceptibility to Ewing Sarcoma Based on Germline Risk and Familial History of Cancer"
"NCI DAC","phs001234.v1.p1","10/16/2018","10/16/2018","Sequence of Primary ER+ Breast Tumors Treated with 5 Years of Tamoxifen"
"NCI DAC","phs001241.v1.p1","11/20/2017","11/20/2017","Clonal Architectures and Driver Mutations in Metastatic Melanomas"
"NCI DAC","phs001243.v1.p1","12/15/2016","06/15/2017","Genetic Basis of Breast Cancer Resistance in BRCA1 Mutation Carrier"
"NCI DAC","phs001249.v1.p1","04/03/2017","04/03/2017","Chemosensitive Relapse in Small Cell Lung Cancer Patient-Derived Xenografts"
"NCI DAC","phs001255.v1.p1","06/09/2017","06/09/2017","Molecular Evolution of Cancer"
"NCI DAC","phs001257.v2.p1","04/12/2017","01/18/2017","Genetic Analysis of Tumor Samples"
"NCI DAC","phs001261.v1.p1","09/13/2017","09/13/2017","DNA Inverted Repeat as an at-Risk Motif of Palindromic Gene Amplification"
"NCI DAC","phs001263.v1.p1","03/09/2017","03/09/2017","DRIVE Breast Cancer GWAS Meta-Analysis"
"NCI DAC","phs001265.v1.p1","06/12/2017","06/12/2017","DRIVE Breast Cancer OncoArray Genotypes"
"NCI DAC","phs001271.v1.p1","02/28/2017","02/28/2017","Pooled Genome-Wide Analysis of Kidney Cancer Risk (KIDRISK)"
"NCI DAC","phs001273.v3.p2","11/13/2019","09/26/2018","Oncoarray Consortium - Lung Cancer Studies"
"NCI DAC","phs001282.v2.p1","04/20/2020","02/13/2017","Genomics of Endemic Burkitt Lymphoma"
"NCI DAC","phs001284.v1.p1","08/09/2019","08/09/2019","NCI Waldenstrom Macroglobulinemia Genome-wide Association Study"
"NCI DAC","phs001286.v1.p1","04/01/2019","04/01/2019","The Prostate, Lung, Colon, Ovary Screening Trial (PLCO)"
"NCI DAC","phs001287.v7.p5","10/07/2020","10/07/2020","CPTAC 3 study"
"NCI DAC","phs001303.v1.p1","10/26/2017","10/26/2017","GWAS of Sporadic and Familial Testicular Germ Cell Tumors"
"NCI DAC","phs001304.v1.p1","10/12/2018","10/12/2018","NCI Biospecimen Pre-analytical Variables (BPV) Analysis"
"NCI DAC","phs001315.v1.p1","05/23/2018","05/23/2018","GECCO: Detecting Common and Rare Genetic Loci and GxE Interactions in Colorectal Cancer"
"NCI DAC","phs001319.v1.p1","03/31/2017","03/31/2017","Glioma International Case Control Study (GICC)"
"NCI DAC","phs001321.v1.p1","09/11/2017","09/11/2017","Consortium of Investigators of Modifiers of BRCA1/2 (CIMBA)"
"NCI DAC","phs001323.v2.p1","10/06/2020","04/20/2020","Multiple Myeloma Genomic Study (MMGS)"
"NCI DAC","phs001327.v1.p1","09/07/2017","09/07/2017","Childhood Cancer Survivor Study (CCSS)"
"NCI DAC","phs001337.v1.p1","12/09/2019","12/09/2019","AACR Project GENIE"
"NCI DAC","phs001349.v1.p1","08/14/2017"," ","Meta-Analysis of Five Genome-Wide Association Studies of TGCT"
"NCI DAC","phs001372.v1.p1","10/18/2018","10/18/2018","Integrated Single-Cell Analysis in Chronic Lymphocytic Leukemia"
"NCI DAC","phs001374.v1.p1","08/22/2018","08/22/2018","VA APOLLO Project - Research for Precision Oncology (RePOP)"
"NCI DAC","phs001381.v1.p1","06/15/2018","06/15/2018","Gut Microbiome and Types of Colorectal Polyps"
"NCI DAC","phs001384.v1.p1","09/20/2017","09/20/2017","Time Lapse to Cancer-Defining the Transition from Polyp to Cancer"
"NCI DAC","phs001385.v1.p1","12/28/2017","12/28/2017","Ancestry Admixture among Chileans"
"NCI DAC","phs001389.v1.p1","03/06/2018","03/06/2018","Gene Expression and Histone Modification Profiles in GBM Tumors"
"NCI DAC","phs001391.v1.p1","03/21/2018","03/21/2018","OncoArray: Prostate Cancer"
"NCI DAC","phs001396.v1.p1","05/15/2018","05/15/2018","Genetics of Pigmentation in Eastern and Southern African Populations Study"
"NCI DAC","phs001399.v1.p1","05/31/2018","05/31/2018","Development of Precision Neoadjuvant-Adjuvant Therapies"
"NCI DAC","phs001403.v1.p1","11/30/2017","11/30/2017","WES and CNV analysis of NF1-Associated Plexiform Neurofibromas"
"NCI DAC","phs001405.v1.p1","03/07/2018","03/07/2018","Defining the Triple Negative Breast Cancer Kinome Response to GSK1120212"
"NCI DAC","phs001407.v1.p1","09/18/2017","09/18/2017","HNPCC-Sys: Molecular Characterization of Lynch Syndromes"
"NCI DAC","phs001415.v1.p1","03/27/2019","03/27/2019","Uncovering the Genetic Architecture of Colorectal Cancer with Focus of Rare and Less Frequent Variants"
"NCI DAC","phs001417.v1.p1","03/27/2018","03/27/2018","Scalable WES of cfDNA Reveals High Concordance with Metastatic Tumors"
"NCI DAC","phs001421.v1.p1","01/25/2018","01/25/2018","Whole Exome Sequencing and Methylation Profiling of Uveal Melanoma"
"NCI DAC","phs001424.v1.p1","10/13/2017","10/13/2017","Genomic Analysis of Pre-Treatment and Autopsy Glioblastoma Specimens"
"NCI DAC","phs001425.v1.p1","08/24/2017","08/24/2017","Melanoma Sequential Immune Checkpoint Blockade Treatment Sequencing Study"
"NCI DAC","phs001432.v1.p1","05/28/2019","05/28/2019","Rapid Autopsy in Thoracic Malignancy Cancer Patients to Investigate Tumor Heterogeneity"
"NCI DAC","phs001437.v1.p1","09/25/2019","09/25/2019","Pediatric Preclinical Testing Consortium (PPTC)"
"NCI DAC","phs001444.v2.p1","11/07/2019"," ","Genomic Variation in Diffuse Large B Cell Lymphomas"
"NCI DAC","phs001447.v1.p1","03/07/2018","03/07/2018","Metastatic Castrate-Resistant Prostate Cancer Study (MCRPCS)"
"NCI DAC","phs001448.v1.p1","10/27/2017","10/27/2017","Sub-Saharan Sophageal Squamous Cell Carcinoma Molecular Analysis"
"NCI DAC","phs001451.v1.p1","02/28/2018","02/28/2018","A Phase I Study with a Personalized Neoantigen Cancer Vaccine in Melanoma"
"NCI DAC","phs001454.v1.p1","10/10/2017","10/10/2017","Genomic Regions Associated with Susceptibility to Barrett's Esophagus and Esophageal Adenocarcinoma in African Americans: The Cross BETRNet Admixture Study"
"NCI DAC","phs001461.v1.p1","02/24/2020","02/24/2020","Temporal and Clonal Progression in Pediatric Ependymoma"
"NCI DAC","phs001464.v1.p1","10/06/2017","10/06/2017","Acquired Resistance to Immune Checkpoint Inhibitors in Lung Cancer"
"NCI DAC","phs001469.v1.p1","03/01/2018","03/01/2018","High Response Rate to Anti PD-1 Therapy in Desmoplastic Melanoma"
"NCI DAC","phs001481.v1.p1","09/06/2018","09/06/2018","Inherited Bone Marrow Failure Syndromes Study"
"NCI DAC","phs001483.v1.p1","05/01/2019","05/01/2019","DRIVE Breast Cancer Whole Genome Sequencing"
"NCI DAC","phs001486.v2.p2","06/05/2019","02/07/2019","NCI Cancer Model Development for the Human Cancer Model Initiative"
"NCI DAC","phs001493.v2.p1","08/26/2020","02/02/2018","Whole Exome Predictors Immune Checkpoint Therapy Response in Renal Cell Carcinoma"
"NCI DAC","phs001495.v2.p1","03/06/2019","02/02/2018","DAXX Suppression of ALT"
"NCI DAC","phs001497.v1.p1","01/10/2018","01/10/2018","UCSF Adult Glioma Study"
"NCI DAC","phs001499.v1.p1","10/25/2019","10/25/2019","CORECT: Meta-analysis"
"NCI DAC","phs001500.v1.p1","08/02/2018","08/02/2018","NCI Primary Human Melanocyte QTL Study"
"NCI DAC","phs001513.v1.p1","08/02/2018","08/02/2018","Mechanisms of Chemotherapy Resistance in T-ALL"
"NCI DAC","phs001519.v1.p1","12/14/2018","12/14/2018","Personalized Neoantigen Cancer Vaccine in Glioblastoma Multiforme"
"NCI DAC","phs001524.v1.p1","10/21/2019","10/21/2019","The Genetic Basis of Aggressive Prostate Cancer, The Role of Rare Variation"
"NCI DAC","phs001526.v1.p1","05/06/2019","05/06/2019","Next Generation Sequencing of Diffuse Intrinsic Pontine Glioma Samples"
"NCI DAC","phs001528.v1.p1","02/22/2018","02/22/2018","Gene Expression of Small Cell Carcinoma of the Ovary-Hypercalcemic Type"
"NCI DAC","phs001534.v1.p1","10/18/2019","10/18/2019","Pathways Study"
"NCI DAC","phs001549.v1.p1","08/31/2018","08/31/2018","Genome-wide Association Study and Meta-Analysis of Ewing Sarcoma"
"NCI DAC","phs001550.v2.p1","01/10/2019","03/19/2018","The Genetic and Transcriptomic Evolution of Melanoma"
"NCI DAC","phs001554.v1.p1","08/06/2018","08/06/2018","Detection of Colorectal Cancer Susceptibility Loci Using Genome-Wide Sequencing"
"NCI DAC","phs001565.v1.p1","07/03/2018","07/03/2018","Pre-treatment Molecular Characterizations of Tumors from Patients Who Receive Immune Checkpoint Therapies"
"NCI DAC","phs001566.v1.p1","07/25/2018","07/25/2018","Mutations in Breast Cancer Patient with Neurofibromatosis"
"NCI DAC","phs001568.v1.p1","08/12/2019","08/12/2019","Genetic Epidemiology of CLL"
"NCI DAC","phs001570.v1.p1","09/06/2018","09/06/2018","Randomized Phase III Trial of Neoadjuvant HER2 Therapy in Breast Cancer"
"NCI DAC","phs001572.v1.p1","10/11/2018","10/11/2018","Pan-Tumor Genomic Biomarkers for PD-1 Based Immunotherapy"
"NCI DAC","phs001573.v1.p1","07/14/2020","07/14/2020","Intra-Tumor Heterogeneity and Clonal Evolution of Papillary Renal Cell Carcinoma"
